HOBO,Year,SnowDays,Last Day
10169188,2013,26,145
10169305,2013,52,147
10166262,2014,19,131
10166264,2014,19,131
10166265,2014,26,131
10166266,2014,23,120
10166267,2014,20,119
10166268,2014,19,119
10166270,2014,18,119
10166271,2014,17,131
10166272,2014,15,130
10166274,2014,33,132
10166275,2014,17,131
10166277,2014,10,118
10166278,2014,23,120
10166279,2014,17,131
10166280,2014,19,119
10166281,2014,25,131
10166282,2014,10,119
10166283,2014,20,119
10166284,2014,22,131
10166285,2014,20,131
10166287,2014,15,97
10166288,2014,,
10166291,2014,23,131
10166292,2014,36,132
10166293,2014,19,131
10166294,2014,22,131
10166295,2014,19,119
10166296,2014,19,131
10166297,2014,24,131
10166298,2014,14,119
10166300,2014,45,131
10166301,2014,13,130
10166302,2014,21,131
10166303,2014,19,131
10166304,2014,26,131
10166305,2014,26,131
10166306,2014,22,131
10166307,2014,23,130
10166311,2014,11,119
10166314,2014,21,131
10166315,2014,21,131
10166316,2014,28,132
10166318,2014,13,118
10166319,2014,15,114
10166320,2014,23,131
10166321,2014,23,130
10166322,2014,17,131
10166323,2014,25,131
10169126,2014,21,120
10169127,2014,23,131
10169128,2014,25,131
10169129,2014,11,119
10169130,2014,19,119
10169131,2014,24,131
10169133,2014,19,131
10169135,2014,15,119
10169139,2014,22,131
10169140,2014,18,119
10169142,2014,18,119
10169143,2014,15,131
10169144,2014,20,131
10169145,2014,22,131
10169146,2014,23,131
10169147,2014,18,131
10169149,2014,19,131
10169150,2014,15,114
10169151,2014,26,131
10169152,2014,19,131
10169153,2014,19,131
10169155,2014,25,131
10169156,2014,,
10169159,2014,,
10169160,2014,24,131
10169161,2014,19,119
10169162,2014,26,131
10169163,2014,13,118
10169165,2014,,
10169166,2014,17,131
10169168,2014,23,131
10169169,2014,17,119
10169170,2014,24,131
10169171,2014,21,131
10169172,2014,21,131
10169173,2014,18,131
10169174,2014,20,131
10169175,2014,14,119
10169176,2014,25,131
10169177,2014,,
10169178,2014,15,119
10169179,2014,20,131
10169180,2014,17,130
10169181,2014,21,130
10169182,2014,15,119
10169183,2014,17,131
10169184,2014,17,131
10169185,2014,15,119
10169186,2014,23,131
10169187,2014,19,131
10169188,2014,22,119
10169305,2014,34,132
10166262,2015,15,106
10166264,2015,,
10166265,2015,1,105
10166266,2015,2,102
10166267,2015,10,106
10166268,2015,11,106
10166270,2015,8,106
10166271,2015,14,106
10166272,2015,7,106
10166274,2015,20,116
10166275,2015,8,106
10166277,2015,5,105
10166278,2015,9,106
10166279,2015,15,106
10166280,2015,18,116
10166281,2015,,
10166282,2015,4,106
10166283,2015,,
10166284,2015,14,105
10166285,2015,10,106
10166287,2015,,
10166288,2015,,
10166291,2015,21,116
10166292,2015,24,116
10166293,2015,18,116
10166294,2015,14,106
10166295,2015,10,106
10166296,2015,,
10166297,2015,16,116
10166298,2015,8,106
10166300,2015,20,109
10166301,2015,12,106
10166302,2015,16,106
10166303,2015,5,106
10166304,2015,18,116
10166305,2015,14,106
10166306,2015,17,106
10166307,2015,11,106
10166311,2015,10,106
10166314,2015,15,106
10166315,2015,11,106
10166316,2015,24,116
10166318,2015,11,106
10166319,2015,10,106
10166320,2015,15,106
10166321,2015,4,105
10166322,2015,10,106
10166323,2015,18,107
10169126,2015,9,106
10169127,2015,16,106
10169128,2015,14,106
10169129,2015,10,106
10169130,2015,12,106
10169131,2015,21,116
10169133,2015,12,116
10169135,2015,3,105
10169139,2015,18,116
10169140,2015,10,106
10169142,2015,8,106
10169143,2015,11,106
10169144,2015,13,106
10169145,2015,16,106
10169146,2015,20,116
10169147,2015,11,106
10169149,2015,15,106
10169150,2015,10,106
10169151,2015,18,116
10169152,2015,12,106
10169153,2015,10,106
10169155,2015,19,116
10169156,2015,17,106
10169159,2015,12,106
10169160,2015,14,106
10169161,2015,13,106
10169162,2015,16,107
10169163,2015,13,106
10169165,2015,12,106
10169166,2015,12,106
10169168,2015,16,106
10169169,2015,14,106
10169170,2015,,
10169171,2015,14,106
10169172,2015,14,106
10169173,2015,11,106
10169174,2015,14,106
10169175,2015,14,106
10169176,2015,18,116
10169177,2015,,
10169178,2015,9,106
10169179,2015,17,116
10169180,2015,10,105
10169181,2015,9,106
10169182,2015,14,106
10169183,2015,13,116
10169184,2015,13,116
10169185,2015,13,106
10169186,2015,18,116
10169187,2015,16,106
10169188,2015,11,106
10169305,2015,21,116
10166262,2016,15,117
10166264,2016,,
10166265,2016,14,107
10166266,2016,20,116
10166267,2016,14,107
10166268,2016,,
10166270,2016,,
10166271,2016,14,117
10166272,2016,12,107
10166274,2016,33,118
10166275,2016,14,116
10166277,2016,9,106
10166278,2016,22,116
10166279,2016,,
10166280,2016,,
10166281,2016,,
10166282,2016,1,105
10166283,2016,,
10166284,2016,,
10166285,2016,16,108
10166287,2016,,
10166288,2016,,
10166291,2016,19,118
10166292,2016,35,167
10166293,2016,17,117
10166294,2016,16,116
10166295,2016,,
10166296,2016,,
10166297,2016,,
10166298,2016,10,90
10166300,2016,42,122
10166301,2016,13,117
10166302,2016,,
10166303,2016,14,107
10166304,2016,23,116
10166305,2016,,
10166306,2016,,
10166307,2016,18,116
10166311,2016,,
10166314,2016,,
10166315,2016,,
10166316,2016,30,167
10166318,2016,11,117
10166319,2016,,
10166320,2016,14,107
10166321,2016,4,106
10166322,2016,14,107
10166323,2016,24,116
10169126,2016,17,108
10169127,2016,19,107
10169128,2016,19,108
10169129,2016,10,116
10169130,2016,,
10169131,2016,19,117
10169133,2016,13,116
10169135,2016,12,91
10169139,2016,19,118
10169140,2016,14,107
10169142,2016,9,106
10169143,2016,12,117
10169144,2016,,
10169145,2016,,
10169146,2016,17,117
10169147,2016,11,116
10169149,2016,14,117
10169150,2016,,
10169151,2016,,
10169152,2016,15,107
10169153,2016,,
10169155,2016,18,118
10169156,2016,19,116
10169159,2016,,
10169160,2016,,
10169161,2016,,
10169162,2016,18,108
10169163,2016,11,117
10169165,2016,13,117
10169166,2016,13,116
10169168,2016,,
10169169,2016,,
10169170,2016,,
10169171,2016,15,107
10169172,2016,,
10169173,2016,,
10169174,2016,17,116
10169175,2016,,
10169176,2016,,
10169177,2016,,
10169178,2016,,
10169179,2016,,
10169180,2016,,
10169181,2016,,
10169182,2016,,
10169183,2016,,
10169184,2016,,
10169185,2016,13,107
10169186,2016,,
10169187,2016,,
10169188,2016,14,108
10169305,2016,,
10166262,2017,,
10166264,2017,,
10166265,2017,52,135
10166266,2017,48,135
10166267,2017,45,134
10166268,2017,,
10166270,2017,43,123
10166271,2017,40,138
10166272,2017,19,134
10166274,2017,66,145
10166275,2017,26,134
10166277,2017,45,134
10166278,2017,61,141
10166279,2017,37,134
10166280,2017,46,138
10166281,2017,,
10166282,2017,,
10166283,2017,44,134
10166284,2017,45,134
10166285,2017,33,137
10166287,2017,,
10166288,2017,,
10166291,2017,29,138
10166292,2017,68,148
10166293,2017,29,138
10166294,2017,47,135
10166295,2017,36,137
10166296,2017,36,137
10166297,2017,46,137
10166298,2017,12,119
10166300,2017,70,150
10166301,2017,32,134
10166302,2017,30,135
10166303,2017,46,138
10166304,2017,63,142
10166305,2017,47,137
10166306,2017,27,137
10166307,2017,60,139
10166311,2017,,
10166314,2017,45,135
10166315,2017,45,134
10166316,2017,60,140
10166318,2017,,
10166319,2017,43,137
10166320,2017,55,137
10166321,2017,44,123
10166322,2017,45,134
10166323,2017,61,141
10169126,2017,54,135
10169127,2017,63,143
10169128,2017,60,140
10169129,2017,23,134
10169130,2017,45,134
10169131,2017,32,139
10169133,2017,,
10169135,2017,,
10169139,2017,28,138
10169140,2017,40,134
10169142,2017,46,134
10169143,2017,19,134
10169144,2017,43,123
10169145,2017,29,137
10169146,2017,29,138
10169147,2017,24,135
10169149,2017,24,134
10169150,2017,43,137
10169151,2017,40,138
10169152,2017,31,137
10169153,2017,45,134
10169155,2017,6,90
10169156,2017,51,137
10169159,2017,,
10169160,2017,,
10169161,2017,0,9
10169162,2017,62,142
10169163,2017,18,134
10169165,2017,19,134
10169166,2017,33,138
10169168,2017,46,135
10169169,2017,42,134
10169170,2017,,
10169171,2017,46,137
10169172,2017,44,135
10169173,2017,36,137
10169174,2017,35,138
10169175,2017,44,134
10169176,2017,60,140
10169177,2017,,
10169178,2017,29,119
10169179,2017,34,134
10169180,2017,,
10169181,2017,37,137
10169182,2017,39,134
10169183,2017,26,119
10169184,2017,27,137
10169185,2017,26,138
10169186,2017,57,138
10169187,2017,45,138
10169188,2017,36,134
10169305,2017,62,142
10166262,2018,,
10166264,2018,,
10166265,2018,35,115
10166266,2018,43,123
10166267,2018,29,112
10166268,2018,,
10166270,2018,35,114
10166271,2018,27,111
10166272,2018,29,111
10166274,2018,47,127
10166275,2018,29,112
10166277,2018,35,115
10166278,2018,45,124
10166279,2018,32,114
10166280,2018,35,114
10166281,2018,,
10166282,2018,9,107
10166283,2018,36,115
10166284,2018,35,115
10166285,2018,35,115
10166287,2018,,
10166288,2018,,
10166291,2018,29,113
10166292,2018,49,129
10166293,2018,30,113
10166294,2018,33,114
10166295,2018,33,113
10166296,2018,33,113
10166297,2018,36,116
10166298,2018,25,110
10166300,2018,52,132
10166301,2018,26,110
10166302,2018,29,112
10166303,2018,,
10166304,2018,45,125
10166305,2018,35,115
10166306,2018,32,113
10166307,2018,44,123
10166311,2018,,
10166314,2018,36,116
10166315,2018,36,116
10166316,2018,47,127
10166318,2018,23,110
10166319,2018,,
10166320,2018,36,115
10166321,2018,32,114
10166322,2018,35,114
10166323,2018,47,127
10169126,2018,42,122
10169127,2018,45,125
10169128,2018,43,123
10169129,2018,25,110
10169130,2018,35,115
10169131,2018,35,115
10169133,2018,,
10169135,2018,35,115
10169139,2018,30,113
10169140,2018,35,114
10169142,2018,34,114
10169143,2018,21,110
10169144,2018,35,114
10169145,2018,34,114
10169146,2018,31,113
10169147,2018,26,110
10169149,2018,25,110
10169150,2018,36,116
10169151,2018,33,114
10169152,2018,35,114
10169153,2018,36,116
10169155,2018,34,114
10169156,2018,43,123
10169159,2018,,
10169160,2018,34,114
10169161,2018,,
10169162,2018,44,124
10169163,2018,22,110
10169165,2018,26,111
10169166,2018,27,110
10169168,2018,36,116
10169169,2018,35,115
10169170,2018,,
10169171,2018,35,115
10169172,2018,35,115
10169173,2018,33,113
10169174,2018,32,113
10169175,2018,40,121
10169176,2018,42,122
10169177,2018,,
10169178,2018,30,111
10169179,2018,35,115
10169180,2018,33,113
10169181,2018,34,114
10169182,2018,35,115
10169183,2018,32,112
10169184,2018,31,112
10169185,2018,30,113
10169186,2018,39,119
10169187,2018,35,115
10169188,2018,,
10169305,2018,,
10166262,2019,,
10166264,2019,,
10166265,2019,30,110
10166266,2019,33,113
10166267,2019,26,106
10166268,2019,,
10166270,2019,,
10166271,2019,30,110
10166272,2019,30,109
10166274,2019,48,128
10166275,2019,30,110
10166277,2019,32,112
10166278,2019,41,121
10166279,2019,32,112
10166280,2019,35,115
10166281,2019,,
10166282,2019,,
10166283,2019,39,119
10166284,2019,35,115
10166285,2019,32,112
10166287,2019,,
10166288,2019,,
10166291,2019,,
10166292,2019,48,128
10166293,2019,28,108
10166294,2019,26,106
10166295,2019,30,110
10166296,2019,32,112
10166297,2019,,
10166298,2019,27,107
10166300,2019,53,133
10166301,2019,29,109
10166302,2019,32,112
10166303,2019,,
10166304,2019,40,120
10166305,2019,33,113
10166306,2019,32,112
10166307,2019,37,117
10166311,2019,,
10166314,2019,34,113
10166315,2019,43,123
10166316,2019,49,128
10166318,2019,,
10166319,2019,,
10166320,2019,31,110
10166321,2019,,
10166322,2019,35,115
10166323,2019,44,124
10169126,2019,39,119
10169127,2019,42,122
10169128,2019,36,116
10169129,2019,29,109
10169130,2019,40,120
10169131,2019,33,113
10169133,2019,,
10169135,2019,27,106
10169139,2019,28,108
10169140,2019,26,106
10169142,2019,28,108
10169143,2019,28,108
10169144,2019,38,118
10169145,2019,35,114
10169146,2019,26,107
10169147,2019,29,109
10169149,2019,29,109
10169150,2019,35,115
10169151,2019,30,111
10169152,2019,28,108
10169153,2019,37,117
10169155,2019,29,109
10169156,2019,42,122
10169159,2019,,
10169160,2019,34,114
10169161,2019,,
10169162,2019,42,122
10169163,2019,25,107
10169165,2019,23,107
10169166,2019,32,112
10169168,2019,37,117
10169169,2019,34,114
10169170,2019,,
10169171,2019,33,113
10169172,2019,33,113
10169173,2019,32,112
10169174,2019,29,108
10169175,2019,42,122
10169176,2019,46,126
10169177,2019,,
10169178,2019,32,112
10169179,2019,28,108
10169180,2019,30,110
10169181,2019,,
10169182,2019,33,113
10169183,2019,30,110
10169184,2019,28,108
10169185,2019,25,106
10169186,2019,43,122
10169187,2019,35,115
10169188,2019,,
10169305,2019,48,128
